seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Marshall Islands,1465.7716533033708,0.0,-2.5,1.3333333333333333,3.3333333333333335
Manchukuo,1465.3220050273048,0.0,-5.333333333333333,0.0,4.833333333333333
Western Sahara,1465.2984547084243,0.7777777777777778,-2.4444444444444446,1.7777777777777777,5.111111111111111
Niger,1463.5347107887394,1.2,-0.4,0.7272727272727273,1.018181818181818
Kazakhstan,1463.1975716794625,1.2,-0.3,1.1272727272727272,1.2181818181818183
Vanuatu,1463.062869664534,1.4,-0.6,1.6181818181818182,1.6727272727272726
Papua New Guinea,1463.0031511096781,1.8,0.3,1.8181818181818181,1.2363636363636363
Lebanon,1461.163250307397,1.8,1.6,1.9454545454545455,0.6
Equatorial Guinea,1460.958839549852,0.5,-1.0,0.5818181818181818,1.3454545454545455
Sark,1459.9071437319953,0.0,-17.5,0.0,16.7
Nicaragua,1458.6747854455364,0.5,-1.7,0.4909090909090909,2.2
Tajikistan,1458.6621034324064,2.3,1.1,2.4363636363636365,0.8
Greenland,1458.2085185857397,1.5,-0.8,1.1272727272727272,2.8545454545454545
Mauritania,1458.0910302449972,1.0,-0.5,0.6181818181818182,1.2
French Guiana,1456.6356305708061,1.1,0.2,1.4727272727272727,1.7454545454545454
Saarland,1454.2683668195443,0.5555555555555556,-1.7777777777777777,1.1333333333333333,2.977777777777778
Namibia,1453.3503422859353,0.8,-0.9,0.41818181818181815,1.7818181818181817
Solomon Islands,1449.6815743665345,0.6,-1.3,1.6,3.6363636363636362
Micronesia,1448.9781199402714,0.42857142857142855,-7.285714285714286,0.8214285714285714,10.035714285714286
Mayotte,1448.6645794310377,1.7,0.4,1.0545454545454545,0.6727272727272727
Saint Barthélemy,1447.9092151343762,1.3,-0.5,2.8727272727272726,2.5636363636363635
Vatican City,1446.0709710379758,0.375,-1.875,0.9722222222222222,2.638888888888889
Gotland,1446.0539585459323,0.9,1.0,3.018181818181818,1.8545454545454545
Two Sicilies,1444.4352466746425,0.5,-2.5,0.38095238095238093,3.5714285714285716
Gozo,1443.6874816822578,1.4,1.2,1.9272727272727272,1.2545454545454546
Kyrgyzstan,1443.5493918797954,0.7,-0.7,0.8727272727272727,1.4363636363636363
Dominican Republic,1441.8456074572164,0.7,-0.6,1.1090909090909091,1.6181818181818182
Western Australia,1439.59186045289,1.1,-0.3,1.509090909090909,1.6363636363636365
Chagos Islands,1439.2561990857532,0.4,-4.1,1.4363636363636363,5.6909090909090905
Provence,1439.1440356485607,1.2,3.5,5.636363636363637,1.9454545454545455
Orkney,1437.1811319056271,1.6,0.1,2.090909090909091,1.7818181818181817
Rwanda,1435.8796673813665,1.0,-0.4,1.1636363636363636,0.9818181818181818
Cuba,1435.867192490903,1.1,-0.9,1.2727272727272727,1.509090909090909
Saint Helena,1433.2447326552733,0.0,-4.375,0.6666666666666666,4.555555555555555
