date,tournament,tipo_torneo,home_team,away_team,home_score,away_score,neutral,elo_home,elo_away,elo_diff,home_forma_pts,home_forma_dif_gol,away_forma_pts,away_forma_dif_gol,home_gf_prom,home_gc_prom,away_gf_prom,away_gc_prom
2023-06-14,Mauritius Four Nations Cup,amistoso,Mauritius,Djibouti,1,3,False,1240.3999446881323,1148.697273874172,191.70267081396037,0.8,-0.3,0.3,-2.8,1.309090909090909,1.4545454545454546,0.7818181818181819,3.709090909090909
2023-06-14,Mauritius Four Nations Cup,amistoso,Pakistan,Kenya,0,1,True,1170.8438469445414,1498.2504884867292,-327.4066415421878,0.3,-1.1,1.3,-0.4,0.36363636363636365,1.8363636363636364,0.9272727272727272,1.5454545454545454
2023-06-14,CAFA Nations Cup,amistoso,Oman,Tajikistan,1,1,True,1644.3516510991378,1460.7317253607216,183.6199257384162,2.2,0.5,1.4,0.4,1.4,1.309090909090909,0.7272727272727273,0.6181818181818182
2023-06-14,Friendly,amistoso,Togo,Lesotho,2,0,True,1445.7617287890725,1375.694186729432,70.06754205964057,1.1,0.0,1.2,-0.4,1.0727272727272728,1.3818181818181818,0.7818181818181819,1.6363636363636365
2023-06-14,Friendly,amistoso,Uruguay,Nicaragua,4,1,False,1875.4255265830427,1427.4790390555227,547.94648752752,1.8,1.0,1.3,0.4,1.3272727272727274,0.6727272727272727,1.5818181818181818,1.509090909090909
2023-06-14,UEFA Nations League,amistoso,Netherlands,Croatia,2,4,False,1930.8431411673412,1878.169512322727,152.6736288446141,2.3,0.9,1.7,0.4,1.8545454545454545,1.2,1.2545454545454546,0.9454545454545454
2023-06-14,Friendly,amistoso,Mozambique,Malawi,1,1,False,1433.19723936511,1426.7069378518092,106.49030151330066,0.6,-0.8,0.9,-0.6,0.5818181818181818,1.6545454545454545,0.7454545454545455,1.690909090909091
2023-06-14,Friendly,amistoso,Malaysia,Solomon Islands,4,1,False,1433.1400507322783,1552.7089989201147,-19.56894818783644,2.4,1.4,2.0,0.4,1.690909090909091,0.8181818181818182,1.5818181818181818,1.1272727272727272
2023-06-14,Friendly,amistoso,Indonesia,Palestine,0,0,False,1429.8265223843266,1558.7076758573376,-28.881153473010954,2.1,1.1,1.9,0.8,1.9090909090909092,1.1454545454545455,2.272727272727273,1.1636363636363636
2023-06-14,Friendly,amistoso,DR Congo,Uganda,1,0,True,1547.8888067380835,1510.4490059444663,37.43980079361722,1.1,0.0,0.6,-0.8,1.3818181818181818,1.1636363636363636,0.5272727272727272,1.0727272727272728
2023-06-15,UEFA Nations League,amistoso,Spain,Italy,2,1,True,1907.8537427619187,1867.1894050458639,40.66433771605489,1.7,1.1,1.7,0.2,1.709090909090909,0.8727272727272727,1.4545454545454546,1.1636363636363636
2023-06-15,Friendly,amistoso,Vietnam,Hong Kong,1,0,False,1505.4698816033515,1348.0980486473968,257.3718329559547,2.1,1.7,1.1,-1.0,1.5818181818181818,0.509090909090909,0.5636363636363636,1.5818181818181818
2023-06-15,Friendly,amistoso,Japan,El Salvador,6,0,False,1807.2283098178866,1529.415250232238,377.8130595856487,1.5,0.4,0.5,-1.1,1.1272727272727272,1.1454545454545455,0.6545454545454545,1.690909090909091
2023-06-15,Friendly,amistoso,Jamaica,Qatar,1,2,True,1590.1554463442055,1612.581101480605,-22.425655136399428,1.1,-0.5,1.3,-0.3,0.9272727272727272,1.290909090909091,0.9818181818181818,1.490909090909091
2023-06-15,Friendly,amistoso,Honduras,Venezuela,0,1,True,1559.1222697113262,1675.72717781728,-116.60490810595388,1.3,-0.5,1.7,0.3,0.8181818181818182,1.4545454545454546,1.6181818181818182,0.9272727272727272
